H	Tau
T	
4.967433264	0.370325
4.985669514	0.37092
4.997269464	0.372064
5.009357639	0.372193
5.019104124	0.372471
5.02616535	0.372845
5.040034645	0.37403
5.056354116	0.374967
5.068650222	0.375776
5.075358832	0.375816
5.083188555	0.375727
5.094788477	0.37652
5.107572799	0.376028
5.117599538	0.37581
5.122038787	0.376075
5.133810482	0.376194
5.141811977	0.376026
5.155509448	0.376792
5.165780288	0.377831
5.174062055	0.379279
5.179613369	0.37984
5.196665121	0.379801
5.207044445	0.380644
5.215434698	0.381322
5.224937019	0.38162
5.241735597	0.382603
5.254103975	0.383756
5.271228024	0.383532
5.281887605	0.383135
5.293062532	0.383571
5.306967897	0.383794
5.315150181	0.384448
5.325665091	0.385379
5.33726494	0.386692
5.344317069	0.386425
5.357209802	0.386113
5.363782744	0.386798
5.38163908	0.387481
5.394531801	0.387838
5.403473524	0.388281
5.419404071	0.389254
5.420904906	0.389611
5.420904906	0.390052
5.420904906	0.390602
5.423038622	0.390507
5.425172338	0.391063
5.425100009	0.391624
5.425027679	0.392058
5.425063844	0.391423
5.424991515	0.391546
5.425090968	0.391306
5.425045762	0.390695
5.425072885	0.39096
5.425072885	0.392244
5.425118091	0.392935
5.425127132	0.393259
5.42510905	0.392684
5.425100009	0.392112
5.42510905	0.391898
5.425100009	0.391211
5.425118091	0.390968
5.42510905	0.391035
5.425100009	0.39074
5.425081926	0.391028
5.425100009	0.3922
5.425100009	0.392236
5.425063844	0.391903
5.425081926	0.391617
5.425072885	0.390644
5.425081926	0.390811
5.425118091	0.391255
5.425145215	0.391407
5.425118091	0.391415
5.425100009	0.391053
5.425100009	0.39142
5.42510905	0.391864
5.425118091	0.391937
5.425100009	0.391111
5.425090968	0.390193
5.425072885	0.392063
5.425081926	0.392256
5.429430729	0.391243
5.447359363	0.391921
5.460179732	0.39217
5.479988911	0.392473
5.49250187	0.392161
5.510349102	0.391879
5.514752142	0.391992
5.525691929	0.392265
5.545049016	0.393938
5.563773214	0.397472
5.572995171	0.398527
5.589938252	0.398816
5.60580543	0.397192
5.615660256	0.396825
5.6277844	0.398001
5.639067716	0.398364
5.663876533	0.398898
5.680295186	0.400454
5.697726436	0.402425
5.712336854	0.403496
5.727534938	0.402977
5.73979466	0.402222
5.753211637	0.403115
5.763690257	0.40456
5.771592165	0.404525
5.781058178	0.404286
5.793354046	0.404837
5.804917583	0.405147
5.812258935	0.404579
5.82116439	0.404397
5.836543248	0.404487
5.848875261	0.405233
5.863133015	0.405864
5.870989695	0.406267
5.87839432	0.406595
5.893312059	0.407096
5.903618856	0.407371
5.911276624	0.407502
5.920498491	0.407448
5.933598962	0.408218
5.950894469	0.409071
5.961092757	0.409467
5.970911318	0.409968
5.979093451	0.410859
5.992474171	0.412435
6.001207801	0.413137
6.010465807	0.414594
6.016297265	0.41542
6.033981494	0.415225
6.043239491	0.41484
6.053401587	0.414763
6.060986993	0.414905
6.07751395	0.416745
6.092259822	0.415741
6.099275636	0.415101
6.123279474	0.416838
6.139426678	0.419329
6.159651357	0.418919
6.175093348	0.418461
6.192253116	0.417288
6.200950529	0.417635
6.213562678	0.419466
6.232395003	0.420441
6.242593205	0.421548
6.251362932	0.422349
6.260521418	0.423023
6.273061216	0.424383
6.28378378	0.424378
6.290808594	0.424527
6.297272868	0.425231
6.316177472	0.42577
6.33008243	0.425808
6.341401676	0.424266
6.348037717	0.42413
6.357503567	0.425059
6.370712356	0.426481
6.379554376	0.42693
6.390765113	0.427316
6.399607127	0.427347
6.414036421	0.427563
6.429903212	0.42883
6.440625723	0.429655
6.448943351	0.429912
6.455615534	0.430524
6.470885605	0.431513
6.480071151	0.432856
6.488732322	0.433824
6.497926903	0.435694
6.505014956	0.436785
6.514833353	0.437031
6.528250016	0.43803
6.53904482	0.437991
6.545825474	0.437551
6.561755484	0.437494
6.572477949	0.43798
6.586563611	0.438243
6.597322231	0.437641
6.611154737	0.437565
6.62768141	0.438842
6.636695133	0.439745
6.654478468	0.44033
6.669576665	0.440416
6.67939501	0.441134
6.685398121	0.442978
6.696021094	0.442518
6.712963598	0.440001
6.725439929	0.440695
6.741821886	0.442481
6.752444839	0.442257
6.766349601	0.443656
6.779070012	0.44509
6.785606511	0.443828
6.799610706	0.442732
6.808380276	0.445585
6.823722497	0.447046
6.836298231	0.446976
6.845935705	0.448258
6.85202015	0.448734
6.869414605	0.448415
6.881610606	0.449079
6.892821159	0.448141
6.902919694	0.447688
6.9084436	0.446586
6.924020829	0.448817
6.934788369	0.4504
6.941559893	0.450726
6.955500729	0.451793
6.965599242	0.454036
6.980624956	0.457873
6.992884196	0.457701
6.999384485	0.457346
7.008786846	0.456637
7.02048555	0.454981
7.03382966	0.454955
7.042707649	0.457056
7.048439465	0.458382
7.064224555	0.456711
7.072994046	0.456731
7.083761531	0.458127
7.090397409	0.459933
7.098398432	0.461078
7.104229685	0.461179
7.122157389	0.4615
7.130890699	0.464269
7.139452234	0.464333
7.149758618	0.463346
7.162189559	0.460704
7.179972576	0.459542
7.186545147	0.459845
7.199364821	0.461508
7.204816345	0.462286
7.217464238	0.463292
7.231260289	0.464723
7.239821793	0.46706
7.252921703	0.469061
7.265533411	0.470311
7.278217439	0.471206
7.28932839	0.470883
7.301451887	0.46552
7.320211204	0.467352
7.329749068	0.46952
7.33813877	0.470101
7.347604304	0.470643
7.358995486	0.473649
7.370070241	0.473788
7.3806568	0.475106
7.384743156	0.475146
7.404062933	0.473561
7.419883986	0.472972
7.428653365	0.475508
7.435361486	0.479178
7.446508536	0.479509
7.460069417	0.478496
7.467193397	0.478201
7.477147078	0.47658
7.48640463	0.47461
7.502614378	0.474999
7.511320447	0.478921
7.518580022	0.481155
7.534654144	0.483209
7.545412408	0.483163
7.558584497	0.484415
7.567814899	0.483518
7.578500826	0.480459
7.5863661	0.479346
7.601418599	0.480875
7.610639947	0.483687
7.617700603	0.484712
7.627654228	0.486193
7.642435488	0.487849
7.657949023	0.486295
7.668110564	0.483566
7.679158071	0.482852
7.684392527	0.482999
7.699625781	0.487465
7.709895792	0.488823
7.717236678	0.489256
7.726421823	0.489692
7.73407008	0.490157
7.741618891	0.491445
7.757484946	0.493176
7.76656159	0.491531
7.773757813	0.491069
7.784308049	0.491831
7.798492551	0.492127
7.808455147	0.493743
7.816980306	0.494588
7.825541624	0.495949
7.832520859	0.497536
7.842582887	0.497533
7.854362597	0.494611
7.871476164	0.489795
7.882234291	0.489864
7.896807478	0.494166
7.908614285	0.494008
7.915078192	0.492616
7.923078971	0.492177
7.93842057	0.494162
7.953509029	0.496741
7.969610004	0.500018
7.979952231	0.498812
7.990891121	0.496321
7.99899132	0.496528
8.01240727	0.499052
8.02184544	0.503729
8.038958895	0.504502
8.052655075	0.510011
8.063801862	0.509481
8.080047413	0.502284
8.093707409	0.503247
8.104890339	0.50314
8.119870214	0.503586
